,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
145,Dallas Cowboys,Philadelphia Eagles,AT&T Stadium,Arlington,TX,USA,2022-12-24,Sat,3:25 PM,$43
146,Miami Dolphins,Green Bay Packers,Hard Rock Stadium,Miami,FL,USA,2022-12-25,Sun,1:00 PM,$167
147,Los Angeles Rams,Denver Broncos,SoFi Stadium,Inglewood,CA,USA,2022-12-25,Sun,1:30 PM,$78
148,Arizona Cardinals,Tampa Bay Buccaneers,State Farm Stadium,Glendale,AZ,USA,2022-12-25,Sun,6:20 PM,$125
149,Indianapolis Colts,Los Angeles Chargers,Lucas Oil Stadium,Indianapolis,IN,USA,2022-12-26,Mon,8:15 PM,$54
150,Tennessee Titans (NFT Eligible),Dallas Cowboys,Nissan Stadium - Nashville - Formerly LP Field,Nashville,TN,USA,2022-12-29,Thu,7:15 PM,$265
151,Kansas City Chiefs,Denver Broncos,GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,2023-01-01,Sun,12:00 PM,$95
152,Houston Texans,Jacksonville Jaguars,NRG Stadium,Houston,TX,USA,2023-01-01,Sun,12:00 PM,$22
153,Washington Commanders,Cleveland Browns,FedEx Field,Landover,MD,USA,2023-01-01,Sun,1:00 PM,$42
154,Baltimore Ravens,Pittsburgh Steelers,M&T Bank Stadium,Baltimore,MD,USA,2023-01-01,Sun,1:00 PM,$115
155,New England Patriots,Miami Dolphins,Gillette Stadium,Foxborough,MA,USA,2023-01-01,Sun,1:00 PM,$99
156,Atlanta Falcons,Arizona Cardinals,Mercedes-Benz Stadium,Atlanta,GA,USA,2023-01-01,Sun,1:00 PM,$25
157,New York Giants,Indianapolis Colts,MetLife Stadium,East Rutherford,NJ,USA,2023-01-01,Sun,1:00 PM,$60
158,Detroit Lions (NFT Eligible),Chicago Bears,Ford Field,Detroit,MI,USA,2023-01-01,Sun,1:00 PM,$57
159,Philadelphia Eagles,New Orleans Saints,Lincoln Financial Field,Philadelphia,PA,USA,2023-01-01,Sun,1:00 PM,$130
160,Tampa Bay Buccaneers,Carolina Panthers,Raymond James Stadium,Tampa,FL,USA,2023-01-01,Sun,1:00 PM,$170
161,Seattle Seahawks,New York Jets,Lumen Field,Seattle,WA,USA,2023-01-01,Sun,1:05 PM,$70
162,Las Vegas Raiders,San Francisco 49ers,Allegiant Stadium,Las Vegas,NV,USA,2023-01-01,Sun,1:05 PM,$424
163,Green Bay Packers,Minnesota Vikings,Lambeau Field,Green Bay,WI,USA,2023-01-01,Sun,3:25 PM,$155
164,Los Angeles Chargers,Los Angeles Rams,SoFi Stadium,Inglewood,CA,USA,2023-01-01,Sun,5:20 PM,$135
165,Cincinnati Bengals,Buffalo Bills,Paycor Stadium (formerly Paul Brown Stadium),Cincinnati,OH,USA,2023-01-02,Mon,8:30 PM,$166
166,Miami Dolphins,New York Jets,Hard Rock Stadium,Miami,FL,USA,2023-01-08,Sun,1:00 PM,$81
